Class	Type	Prop	Disabled
AdjustSchoolCapacitySettings	int	CollegeSlider	
AdjustSchoolCapacitySettings	int	ElementarySlider	
AdjustSchoolCapacitySettings	int	HighSchoolSlider	
AdjustSchoolCapacitySettings	int	UniversitySlider	
AdjustTransitSettings	float	AirplanePassengerScalar	
AdjustTransitSettings	float	BusDepotScalar	
AdjustTransitSettings	float	BusPassengerScalar	
AdjustTransitSettings	bool	EnableDebugLogging	TRUE
AdjustTransitSettings	bool	EnableLineVehicleCountTuner	
AdjustTransitSettings	float	FerryDepotScalar	
AdjustTransitSettings	float	FerryPassengerScalar	
AdjustTransitSettings	float	ShipPassengerScalar	
AdjustTransitSettings	float	SubwayDepotScalar	
AdjustTransitSettings	float	SubwayPassengerScalar	
AdjustTransitSettings	float	TaxiDepotScalar	
AdjustTransitSettings	float	TrainDepotScalar	
AdjustTransitSettings	float	TrainPassengerScalar	
AdjustTransitSettings	float	TramDepotScalar	
AdjustTransitSettings	float	TramPassengerScalar	
AdvancedRoadNamingSettings	bool	AllowMultipleRouteNumbers	
AdvancedRoadNamingSettings	string	BaseRouteSeparator	
AdvancedRoadNamingSettings	bool	CombineRoadAggregates	
AdvancedRoadNamingSettings	bool	CombineRoadAggregatesDefaultMigrated	TRUE
AdvancedRoadNamingSettings	bool	EnableLogging	TRUE
AdvancedRoadNamingSettings	RouteNumberOrderingMode	OrderingMode	
AdvancedRoadNamingSettings	string	RouteNumberSeparator	
AdvancedRoadNamingSettings	bool	ShowAdvancedRouteDetails	
AdvancedSimulationSpeedSettings	bool	ActualSpeed	
AdvancedSimulationSpeedSettings	int	DecimalPlaces	
AdvancedSimulationSpeedSettings	float	Step	
AdvancedSimulationSpeedSettings	Type	Type	
AllAboardSettings	int	BusMaxDwellDelaySlider	
AllAboardSettings	int	TrainMaxDwellDelaySlider	
AnarchySettings	bool	AllowPlacingMultipleUniqueBuildings	
AnarchySettings	bool	AnarchicBulldozer	
AnarchySettings	ProxyBinding	DecreaseElevation	
AnarchySettings	ProxyBinding	DecreaseElevationMimic	
AnarchySettings	bool	DisableAnarchyWhileBrushing	
AnarchySettings	bool	ElevationLock	
AnarchySettings	ProxyBinding	ElevationStep	
AnarchySettings	bool	ElevationStepSlider	
AnarchySettings	bool	FlamingChirper	
AnarchySettings	ProxyBinding	IncreaseElevation	
AnarchySettings	ProxyBinding	IncreaseElevationMimic	
AnarchySettings	float	MinimumClearanceBelowElevatedNetworks	
AnarchySettings	bool	NetworkAnarchyToolOptions	
AnarchySettings	bool	NetworkUpgradesPrefabs	
AnarchySettings	bool	NetworkUpgradesToolOptions	
AnarchySettings	bool	PreventAccidentalPropCulling	
AnarchySettings	bool	PreventOverrideInEditor	
AnarchySettings	int	PropRefreshFrequency	
AnarchySettings	bool	ReplaceUpgradesBehavior	
AnarchySettings	ProxyBinding	ResetElevation	
AnarchySettings	bool	ResetElevationWhenChangingPrefab	
AnarchySettings	bool	ResetNetworkToolOptionsWhenChangingPrefab	
AnarchySettings	ProxyBinding	SecondaryApplyMimic	
AnarchySettings	bool	ShowElevationToolOption	
AnarchySettings	bool	ShowTooltip	
AnarchySettings	ProxyBinding	ToggleAnarchy	
AnarchySettings	bool	ToolIcon	
AnarchySettings	bool	UseElevationMimics	
AreaBucketSettings	bool	AlterVanillaGeometrySystem	
AreaBucketSettings	ProxyBinding	AreaBucketToolApply	
AreaBucketSettings	bool	DrawAreaOverlay	
AreaBucketSettings	ProxyBinding	Dump	
AreaBucketSettings	float	MaxFillingRange	
AreaBucketSettings	float	MinGeneratedLineLength	
AreaBucketSettings	bool	PreviewSurface	
AreaBucketSettings	bool	ShowDebugOption	
AreaBucketSettings	bool	UseExperientalOption	
AssetIconCreatorSettings	bool	AutoSetIcon	
AssetIconCreatorSettings	bool	ClearMap	
AssetIconCreatorSettings	bool	CompressOutput	
AssetIconCreatorSettings	int	OutputSize	
AssetIconCreatorSettings	bool	SaveThumbnailsPermanently	
AssetIconCreatorSettings	string	ThumbnailsFolder	
AssetIconCreatorSettings	ProxyBinding	ToolKeyBinding	
AssetIconLibrarySettings	string	IconsStyle	
AssetIconLibrarySettings	bool	OverwriteIcons	
AssetMigrationUtilitySettings	bool	IsEnabled	
AssetUIManagerSettings	bool	BaseGameAssetPacks	TRUE
AssetUIManagerSettings	bool	BikewayInRoads	
AssetUIManagerSettings	bool	BridgesInRoads	
AssetUIManagerSettings	bool	EnableAssetPacks	TRUE
AssetUIManagerSettings	bool	IsGame	TRUE
AssetUIManagerSettings	bool	ParkingRoadsInRoads	
AssetUIManagerSettings	bool	PathwayInRoads	
AssetUIManagerSettings	int	PathwayPriorityDropdown	TRUE
AssetUIManagerSettings	int	PathwayPriorityDropdownVersion	TRUE
AssetUIManagerSettings	bool	PDXModsAssetPacks	TRUE
AssetUIManagerSettings	bool	PedestrianInPathway	
AssetUIManagerSettings	bool	QuaysInRoads	
AssetUIManagerSettings	bool	SeparateControlAndResearch	
AssetUIManagerSettings	bool	SeparatedCityParks	
AssetUIManagerSettings	bool	SeparatedHospitals	
AssetUIManagerSettings	bool	SeparatedPocketParks	
AssetUIManagerSettings	bool	SeparatedPolice	
AssetUIManagerSettings	bool	SeparatedSchools	
AssetUIManagerSettings	bool	VerboseLogging	TRUE
AssetVariationChangerSettings	bool	EnableVariationChooser	
AssetVariationChangerSettings	bool	LineToolCompatibility	
AssetVariationChangerSettings	ProxyBinding	NextVariationBinding	
AssetVariationChangerSettings	ProxyBinding	PreviousVariationBinding	
AssetVariationChangerSettings	ProxyBinding	ToggleVariationChooser	
AssetVariationChangerSettings	bool	TreeControllerCompatibility	
AutoDistrictNameStationsSettings	bool	allowStreetnaming	
AutoDistrictNameStationsSettings	bool	allowUnique	
AutoDistrictNameStationsSettings	bool	changeDeathsCare	
AutoDistrictNameStationsSettings	bool	changeFirestation	
AutoDistrictNameStationsSettings	bool	changeGarbage	
AutoDistrictNameStationsSettings	bool	changeHospital	
AutoDistrictNameStationsSettings	bool	changePark	
AutoDistrictNameStationsSettings	bool	changeParking	
AutoDistrictNameStationsSettings	bool	changePolice	
AutoDistrictNameStationsSettings	bool	changePost	
AutoDistrictNameStationsSettings	bool	changeSchool	
AutoDistrictNameStationsSettings	bool	changeShelter	
AutoDistrictNameStationsSettings	bool	changeStations	
AutoDistrictNameStationsSettings	int	deathsCareApplyTo	
AutoDistrictNameStationsSettings	int	firestationApplayTo	
AutoDistrictNameStationsSettings	int	garbageApplyTo	
AutoDistrictNameStationsSettings	int	hospitalApplyTo	
AutoDistrictNameStationsSettings	int	parkApplyTo	
AutoDistrictNameStationsSettings	int	parkingApplyTo	
AutoDistrictNameStationsSettings	int	policeApplyTo	
