Class	Type	Prop	Disabled	Order
AdjustAllSpeedLimitsSettings	SpeedUnit	SpeedUnitPreference		1
AdjustAllSpeedLimitsSettings	bool	SyncSliderWithSelection		2
AdjustAllSpeedLimitsSettings	int	PanelSliderIncrement		3
AdjustAllSpeedLimitsSettings	int	TooltipFontScale		4
AdjustAllSpeedLimitsSettings	bool	DoubleSpeedDisplay		5
AdjustAllSpeedLimitsSettings	bool	PanelTooltipsEnabled		6
AdjustAllSpeedLimitsSettings	bool	HideSpeedMarkers		7
AdjustAllSpeedLimitsSettings	int	ToolPanelPositionX	TRUE	8
AdjustAllSpeedLimitsSettings	int	ToolPanelPositionY	TRUE	9
AdjustAllSpeedLimitsSettings	bool	SelectionInfoExpanded		10
AdjustAllSpeedLimitsSettings	bool	SliderExpanded		11
AdjustAllSpeedLimitsSettings	bool	WholeCityExpanded		12
AdjustAllSpeedLimitsSettings	bool	StatsExpanded		13
AdjustAllSpeedLimitsSettings	bool	ShowUsage		14
AdjustSchoolCapacitySettings	int	ElementarySlider		1
AdjustSchoolCapacitySettings	int	HighSchoolSlider		2
AdjustSchoolCapacitySettings	int	CollegeSlider		3
AdjustSchoolCapacitySettings	int	UniversitySlider		4
AdjustSchoolCapacitySettings	bool	ControlEducationFees		5
AdjustSchoolCapacitySettings	int	ElementaryFeePercent		6
AdjustSchoolCapacitySettings	int	HighSchoolFeePercent		7
AdjustSchoolCapacitySettings	int	HigherEducationFeePercent		8
AdjustTransitSettings	bool	EnableDebugLogging	TRUE	1
AdjustTransitSettings	float	BusDepotScalar		2
AdjustTransitSettings	float	FerryDepotScalar		3
AdjustTransitSettings	float	SubwayDepotScalar		4
AdjustTransitSettings	float	TaxiDepotScalar		5
AdjustTransitSettings	float	TrainDepotScalar		6
AdjustTransitSettings	float	TramDepotScalar		7
AdjustTransitSettings	float	BusPassengerScalar		8
AdjustTransitSettings	float	TramPassengerScalar		9
AdjustTransitSettings	float	TrainPassengerScalar		10
AdjustTransitSettings	float	SubwayPassengerScalar		11
AdjustTransitSettings	float	ShipPassengerScalar		12
AdjustTransitSettings	float	FerryPassengerScalar		13
AdjustTransitSettings	float	AirplanePassengerScalar		14
AdvancedLineToolSettings	float	GuidelineTransparency		1
AdvancedRoadNamingSettings	string	BaseRouteSeparator		1
AdvancedRoadNamingSettings	string	RouteNumberSeparator		2
AdvancedRoadNamingSettings	bool	AllowMultipleRouteNumbers		3
AdvancedRoadNamingSettings	RouteNumberOrderingMode	OrderingMode		4
AdvancedRoadNamingSettings	string	OrderingModeOption		5
AdvancedRoadNamingSettings	bool	ShowAdvancedRouteDetails		6
AdvancedRoadNamingSettings	bool	EnableRouteShields		7
AdvancedRoadNamingSettings	RouteShieldSpacingPreset	RouteShieldSpacingPreset		8
AdvancedRoadNamingSettings	string	RouteShieldSpacingOption		9
AdvancedRoadNamingSettings	RouteShieldSizePreset	RouteShieldSizePreset		10
AdvancedRoadNamingSettings	string	RouteShieldSizeOption		11
AdvancedRoadNamingSettings	bool	EnableRouteShieldOcclusion		12
AdvancedRoadNamingSettings	int	RouteShieldOcclusionAngle		13
AdvancedRoadNamingSettings	bool	EnableRouteStatistics		14
AdvancedRoadNamingSettings	RouteStatisticsPreset	StatisticsPreset		15
AdvancedRoadNamingSettings	string	StatisticsPresetOption		16
AdvancedRoadNamingSettings	RouteVolumeAggregationMode	StatisticsVolumeMode		17
AdvancedRoadNamingSettings	string	StatisticsVolumeModeOption		18
AdvancedRoadNamingSettings	RouteFlowAggregationMode	StatisticsFlowMode		19
AdvancedRoadNamingSettings	string	StatisticsFlowModeOption		20
AdvancedRoadNamingSettings	int	StatisticsBusySegmentShare		21
AdvancedRoadNamingSettings	int	StatisticsBusyVolumePercentile		22
AdvancedRoadNamingSettings	int	StatisticsBottleneckSegmentShare		23
AdvancedRoadNamingSettings	int	StatisticsCongestionFlowThreshold		24
AdvancedRoadNamingSettings	RouteStatisticsRefreshRate	StatisticsRefreshRate		25
AdvancedRoadNamingSettings	string	StatisticsRefreshRateOption		26
AdvancedRoadNamingSettings	ProxyBinding	ToggleRenameBinding		27
AdvancedRoadNamingSettings	ProxyBinding	ToggleRoutesBinding		28
AdvancedRoadNamingSettings	bool	EnableSavedRenameRoutes		29
AdvancedRoadNamingSettings	bool	EnableLogging	TRUE	30
AdvancedRoadNamingSettings	bool	CombineRoadAggregates		31
AdvancedRoadNamingSettings	bool	CombineRoadAggregatesDefaultMigrated	TRUE	32
AdvancedRoadNamingSettings	bool	RouteStatisticsDefaultMigrated		33
AdvancedRoadNamingSettings	bool	RouteShieldsDefaultMigrated		34
AdvancedRoadNamingSettings	bool	SavedRenameRoutesDefaultMigrated		35
AdvancedSimulationSpeedSettings	Type	Type		1
AdvancedSimulationSpeedSettings	float	Step		2
AdvancedSimulationSpeedSettings	bool	ActualSpeed		3
AdvancedSimulationSpeedSettings	int	DecimalPlaces		4
AdvancedTPMSettings	int	DefaultGlobalTaxRate		1
AdvancedTPMSettings	bool	ShowTopLeftButton		2
AdvancedTPMSettings	int	UpdateSpeed		3
AdvancedTPMSettings	int	AdvancedWindowX		4
AdvancedTPMSettings	int	AdvancedWindowY		5
AdvancedTPMSettings	int	AdvancedWindowWidth		6
AdvancedTPMSettings	int	AdvancedWindowHeight		7
AdvancedTPMSettings	bool	AutoTaxEnabled		8
AdvancedTPMSettings	int	AutoTaxInterval		9
AdvancedTPMSettings	int	AutoTaxMinRate		10
AdvancedTPMSettings	int	AutoTaxMaxRate		11
AdvancedTPMSettings	int	AutoTaxHappinessWeight		12
AdvancedTPMSettings	string	AutoTaxExcludedResources		13
AdvancedTPMSettings	string	AutoTaxPerResourceRanges		14
AdvancedTPMSettings	int	AutoTaxProfitWeight		15
